City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
298,Anadyr,RU,64.75,177.4833,32.5,100,90,4.47,light shower snow
299,Shanghai,CN,31.2222,121.4581,76.86,88,0,8.95,light rain
300,Ambon,ID,-3.6954,128.1814,75.34,94,75,4.61,moderate rain
301,Kudahuvadhoo,MV,2.6708,72.8944,82.81,76,100,16.15,overcast clouds
302,Barranca,PE,-10.75,-77.7667,64.62,76,36,9.4,scattered clouds
303,Darab,IR,28.7519,54.5444,77.68,18,0,3.69,clear sky
304,Mykolayivka,UA,47.5414,30.7561,48.33,80,100,5.35,overcast clouds
305,Williston,US,48.147,-103.618,75.94,35,82,5.99,broken clouds
306,Peniche,PT,39.3558,-9.3811,70.09,83,64,13.8,broken clouds
307,Zadar,HR,44.1197,15.2422,61.65,93,0,1.14,clear sky
308,Mersing,MY,2.4312,103.8405,75.11,100,68,4.61,broken clouds
309,Talcahuano,CL,-36.7167,-73.1167,60.48,72,0,14.97,clear sky
310,Takoradi,GH,4.8845,-1.7554,76.44,91,15,5.84,light rain
311,Cajnice,BA,43.5575,19.0711,40.8,76,3,2.71,clear sky
312,Praia Da Vitoria,PT,38.7333,-27.0667,70.05,78,20,11.1,few clouds
313,Muzhi,RU,65.3667,64.6667,34.14,85,43,3.18,scattered clouds
314,Kaitangata,NZ,-46.2817,169.8464,48.22,61,26,12.28,scattered clouds
315,Margate,GB,51.3813,1.3862,62.96,87,18,1.99,few clouds
316,Unity,CA,52.4501,-109.1682,56.25,20,93,20.27,overcast clouds
317,Dalvik,IS,65.9702,-18.5286,37.33,97,100,4.81,overcast clouds
318,Promyshlennovskiy,RU,55.4833,86.2,38.17,99,100,1.28,light rain
319,Pacasmayo,PE,-7.4006,-79.5714,67.08,76,21,12.59,few clouds
320,Piacabucu,BR,-10.4056,-36.4344,76.55,79,12,9.19,few clouds
321,Lodwar,KE,3.1191,35.5973,85.03,40,18,25.79,few clouds
322,Faanui,PF,-16.4833,-151.75,78.04,70,16,11.32,few clouds
323,Najran,SA,17.4924,44.1277,74.05,20,12,0.58,few clouds
324,Vavuniya,LK,8.7514,80.4971,77.18,88,88,5.55,overcast clouds
325,Flin Flon,CA,54.7682,-101.865,48.04,81,90,21.85,overcast clouds
326,Palauig,PH,15.435,119.9045,80.08,78,96,2.77,overcast clouds
327,Itarema,BR,-2.9248,-39.9167,79.7,77,61,17.43,broken clouds
328,Adrar,MR,20.5022,-10.0711,95.95,12,7,7.4,clear sky
329,Grafton,US,42.207,-71.6856,78.85,74,40,4.0,scattered clouds
330,San Patricio,US,28.017,-97.5169,89.58,23,9,6.8,clear sky
331,Moose Factory,CA,51.2585,-80.6094,53.6,62,1,10.36,clear sky
332,Tripoli,LY,32.8752,13.1875,78.06,78,16,15.88,few clouds
333,Lompoc,US,34.6391,-120.4579,88.02,65,1,13.8,clear sky
334,Benjamin Constant,BR,-4.3831,-70.0311,82.53,83,40,5.75,scattered clouds
335,Coihaique,CL,-45.5752,-72.0662,56.01,62,75,0.0,broken clouds
